PLAYER NAME,BASELINE STROKES,ADJUSTED STROKES,STROKES GAINED
"Lowry, Shane",71.46,71.701,1.349
"MacIntyre, Robert",71.8,71.815,1.235
"Matsuyama, Hideki",71.8,71.77,1.28
"McCarthy, Denny",72.24,72.23,0.82
"McCarty, Matt",72.42,72.42,0.63
"McCormick, Ryan",74.08,74.08,-1.03
"McIlroy, Rory",71.18,71.146,1.904
"McNealy, Maverick",71.96,71.691,1.359
"Mickelson, Phil",73.52,73.266,-0.216
"Migliozzi, Guido",73.37,73.37,-0.32
"Moldovan, Maxwell",75.0,75.0,-1.95
"Molinari, Edoardo",73.46,73.46,-0.41
"Morikawa, Collin",71.24,71.257,1.793
"Neergaard-Petersen, Rasmus",72.41,72.603,0.447
"Nicholas, James",74.65,74.65,-1.6
"Niemann, Joaquin",71.17,71.055,1.995
"Norgaard, Niklas",72.83,72.83,0.22
"Novak, Andrew",72.22,72.23,0.82
"Olesen, Thorbjorn",72.26,71.928,1.122
"Ortiz, Alvaro",73.67,73.67,-0.62
"Ortiz, Carlos",72.12,71.956,1.094
"Ott, Harrison",76.0,76.0,-2.95
"Pavan, Andrea",73.56,73.56,-0.51
"Pavon, Matthieu",73.49,73.49,-0.44
"Pendrith, Taylor",71.89,71.664,1.386
"Perez, Victor",72.66,73.019,0.031
"Phillips, Trent",73.87,73.87,-0.82
"Pollo, Zachery",75.1,75.1,-2.05
"Poston, J.T.",72.29,72.464,0.586
"Rahm, Jon",70.71,71.437,1.613
"Rai, Aaron",72.05,72.319,0.731
"Reed, Patrick",72.15,72.496,0.554
"Riley, Davis",72.83,73.059,-0.009
"Rose, Justin",72.93,73.149,-0.099
"Schauffele, Xander",71.37,71.386,1.664
"Scheffler, Scottie",69.69,68.774,4.276
"Schenk, Adam",73.71,73.71,-0.66
"Scott, Adam",72.28,71.953,1.097
"Simpson, Lance",74.65,74.65,-1.6
"Smith, Cameron",72.5,72.412,0.638
"Smith, Jordan",72.52,72.161,0.889
"Spaun, J.J.",72.01,71.836,1.214
"Spieth, Jordan",71.75,71.577,1.473
"Stevens, Sam",72.5,72.271,0.779
"Straka, Sepp",71.6,71.691,1.359
"Sugiura, Yuta",74.19,74.19,-1.14
"Summerhays, Preston",74.25,74.25,-1.2
"Tankersley, Cameron",75.18,75.18,-2.13
"Taylor, Nick",72.24,72.37,0.68
"Thomas, Justin",71.48,71.657,1.393
"Thompson, Davis",72.28,72.28,0.77
"Truslow, Austen",75.14,75.14,-2.09
"Van Rooyen, Erik",72.74,72.695,0.355
"Vegas, Jhonattan",72.88,73.383,-0.333
"Velo, Kevin",73.9,73.9,-0.85
"Vincent, Scott",73.39,73.39,-0.34
"Vogt, Matt",77.6,77.6,-4.55
"Wallace, Matt",72.41,72.217,0.833
"Weaver, Tyler",74.79,74.79,-1.74
"Woodland, Gary",72.76,73.41,-0.36
"Young, Cameron",72.24,72.323,0.727
