player_name,dg_id,proj,my_proj
joel dahmen,14509,44.4,40.7
john parry,13764,48.9,45.5
bernd wiesberger,9531,38.3,36.4
marcel siem,6950,41,38.1
johannes veerman,20522,47.1,42.7
matt mccarty,28635,51.5,47.3
henrik norlander,11657,46.3,43.2
jorge campillo,14016,45.8,42.6
guido migliozzi,17357,40.3,37.2
joe highsmith,28469,48,43.5
ashun wu,11763,41.8,38.6
brandon stone,15229,50.5,47.9
elvis smylie,24200,40.9,38.0
patrick rodgers,16283,50.8,46.9
danny walker,25003,45.3,41.1
sam bairstow,28615,49.2,45.5
isaiah salinda,27183,48.5,45.0
keita nakajima,21074,47.7,43.6
andy sullivan,15326,47.5,43.3
max mcgreevy,23505,48.9,45.1
jacques kruyswijk,16896,48.6,44.8
frederic lacroix,23733,47.4,43.5
rikuya hoshino,19190,47,43.5
julien guerrier,10201,46.3,42.7
dan bradbury,29971,44.5,41.1
ugo coussaud,20727,44.1,40.9
joe dean,16497,41.9,38.9
francesco molinari,7655,41,38.1
todd clements,22608,46.8,43.1
sean crocker,23610,45,41.3
yuto katsuragawa,20448,44.5,40.7
danny willett,12920,43.6,40.1
ignacio elvira mijares,12988,43.2,39.8
brandt snedeker,8820,41.1,38.1
david ford,31343,40.6,37.7
paul waring,12426,40.4,37.6
david ravetto,23416,44.2,40.8
aaron cockerill,15596,42.5,39.8
dylan frittelli,11955,40.9,38.0
darius van driel,13374,40.1,37.2
adrian otaegui,14975,39.3,37.0
angel hidalgo,24127,38.7,36.0
pablo larrazabal,9133,36.4,33.5
simon forsstrom,19806,38.5,35.4
dylan naidoo,19429,37.5,34.8
ryggs johnston,32449,36.6,34.1
junghwan lee,13498,35.7,33.2
dale whitnell,13821,35.5,32.9
jordan gumberg,23892,34.7,32.1
wooyoung cho,25806,34.7,32.5
luke donald,4163,33.7,31.4
hongtaek kim,17973,32.9,30.2
ockie strydom,13731,29.5,27.1
