PLAYER NAME,BASELINE STROKES,ADJUSTED STROKES,STROKES GAINED
"Musselman, Cooper",70.472,70.472,-2.362
"NeSmith, Matt",68.984,68.984,-0.874
"Noh, S.Y.",68.849,68.913,-0.803
"O'Hair, Sean",70.273,70.273,-2.163
"Olesen, Jacob Skov",68.673,68.673,-0.563
"Onishi, Kaito",69.189,69.189,-1.079
"Overton, Jeff",71.506,71.506,-3.396
"Pak, John",68.699,68.699,-0.589
"Paul, Jeremy",68.295,68.266,-0.156
"Pavan, Andrea",68.781,68.781,-0.671
"Peterson, Paul",68.934,68.934,-0.824
"Phillips, Chandler",68.177,68.143,-0.033
"Piercy, Scott",68.979,68.979,-0.869
"Power, Seamus",68.088,68.33,-0.22
"Purcell, Conor",69.223,69.223,-1.113
"Ramey, Chad",68.462,68.515,-0.405
"Reavie, Chez",69.41,69.41,-1.3
"Riedel, Matthew",69.124,69.124,-1.014
"Robinson-Thompson, Brandon",68.658,68.445,-0.335
"Rosenmueller, Thomas",68.346,68.562,-0.452
"Roy, Kevin",67.521,67.747,0.363
"Russell, Miles",68.827,68.827,-0.717
"Ryder, Sam",68.11,68.144,-0.034
"Sargent, Gordon",70.094,70.094,-1.984
"Schenk, Adam",68.558,68.656,-0.546
"Schwab, Matthias",70.223,70.223,-2.113
"Scrivener, Jason",69.023,69.023,-0.913
"Senior, Jack",69.155,69.155,-1.045
"Sharma, Shubhankar",69.807,69.807,-1.697
"Shinkwin, Callum",69.128,69.128,-1.018
"Sigg, Greyson",68.297,68.206,-0.096
"Silverman, Ben",68.722,68.931,-0.821
"Skinns, David",68.728,68.728,-0.618
"Springer, Hayden",68.213,68.319,-0.209
"Stallings Jr., Stephen",71.11,71.11,-3.0
"Sterne, Richard",69.72,69.72,-1.61
"Stuard, Brian",70.402,70.402,-2.292
"Suber, Jackson",68.478,68.3,-0.19
"Svensson, Adam",68.198,68.054,0.056
"Tarren, Callum",69.398,69.398,-1.288
"Teater, Josh",69.122,69.122,-1.012
"Thorbjornsen, Michael",67.306,67.08,1.03
"Thornberry, Braden",69.418,69.418,-1.308
"Trainer, Martin",72.554,72.554,-4.444
"Vaillant, Tom",69.016,69.016,-0.906
"Velo, Kevin",69.12,69.12,-1.01
"Ventura, Kris",68.067,68.057,0.053
"Watney, Nick",69.89,69.89,-1.78
"Whaley, Vince",67.613,67.612,0.498
"Widing, Tim",68.938,68.938,-0.828
"Williams, Robin",69.252,69.252,-1.142
"Wilson, Andrew",69.311,69.311,-1.201
"Wu, Brandon",69.249,69.249,-1.139
"Wu, Dylan",68.429,68.261,-0.151
"Young, Carson",68.215,68.064,0.046
"Yuan, Carl",69.458,69.458,-1.348
"Zanotti, Fabrizio",68.682,68.682,-0.572
