PLAYER NAME,BASELINE STROKES,ADJUSTED STROKES
"Kim, Si Woo",71.99,71.974
"Kim, Tom",72.71,72.798
"Kirk, Chris",72.88,72.88
"Kneiser, George",76.5,76.5
"Koepka, Brooks",72.26,72.316
"Koivun, Jackson",72.83,72.83
"Kozuma, Jinichiro",73.45,73.45
"Kruyswijk, Jacques",73.42,73.42
"La Sasso, Michael",73.5,73.5
"Lacroix, Frederic",73.27,73.27
"Lagergren, Joakim",73.93,73.93
"Lawrence, Thriston",73.47,73.47
"Lee, Bryan",75.31,75.31
"Lee, Min Woo",72.14,72.366
"Leishman, Marc",72.7,72.659
"Lewis, Riley",74.93,74.93
"Lower, Justin",73.15,73.15
"Lowry, Shane",71.46,71.701
"MacIntyre, Robert",71.8,71.815
"Matsuyama, Hideki",71.8,71.77
"McCarthy, Denny",72.24,72.23
"McCarty, Matt",72.42,72.42
"McCormick, Ryan",74.08,74.08
"McIlroy, Rory",71.18,71.146
"McNealy, Maverick",71.96,71.691
"Mickelson, Phil",73.52,73.266
"Migliozzi, Guido",73.37,73.37
"Moldovan, Maxwell",75.0,75.0
"Molinari, Edoardo",73.46,73.46
"Morikawa, Collin",71.24,71.257
"Neergaard-Petersen, Rasmus",72.41,72.603
"Nicholas, James",74.65,74.65
"Niemann, Joaquin",71.17,71.055
"Norgaard, Niklas",72.83,72.83
"Novak, Andrew",72.22,72.23
"Olesen, Thorbjorn",72.26,71.928
"Ortiz, Alvaro",73.67,73.67
"Ortiz, Carlos",72.12,71.956
"Ott, Harrison",76.0,76.0
"Pavan, Andrea",73.56,73.56
"Pavon, Matthieu",73.49,73.49
"Pendrith, Taylor",71.89,71.664
"Perez, Victor",72.66,73.019
"Phillips, Trent",73.87,73.87
"Pollo, Zachery",75.1,75.1
"Poston, J.T.",72.29,72.464
"Rahm, Jon",70.71,71.437
"Rai, Aaron",72.05,72.319
"Reed, Patrick",72.15,72.496
"Riley, Davis",72.83,73.059
"Rose, Justin",72.93,73.149
"Schauffele, Xander",71.37,71.386
"Scheffler, Scottie",69.69,68.774
"Schenk, Adam",73.71,73.71
"Scott, Adam",72.28,71.953
"Simpson, Lance",74.65,74.65
"Smith, Cameron",72.5,72.412
"Smith, Jordan",72.52,72.161
"Spaun, J.J.",72.01,71.836
"Spieth, Jordan",71.75,71.577
"Stevens, Sam",72.5,72.271
"Straka, Sepp",71.6,71.691
"Sugiura, Yuta",74.19,74.19
"Summerhays, Preston",74.25,74.25
"Tankersley, Cameron",75.18,75.18
"Taylor, Nick",72.24,72.37
"Thomas, Justin",71.48,71.657
"Thompson, Davis",72.28,72.28
"Truslow, Austen",75.14,75.14
"Van Rooyen, Erik",72.74,72.695
"Vegas, Jhonattan",72.88,73.383
"Velo, Kevin",73.9,73.9
"Vincent, Scott",73.39,73.39
"Vogt, Matt",77.6,77.6
"Wallace, Matt",72.41,72.217
"Weaver, Tyler",74.79,74.79
"Woodland, Gary",72.76,73.41
"Young, Cameron",72.24,72.323
