player_name,sample_size,baseline,country_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Dahmen, Joel",150,-0.263,-0.141,37,-0.022,0.011,-0.002,0.035,-0.035,-0.015,-0.117,0.040,-0.092,-0.509,2.790,"Genesis Scottish Open","The Renaissance Club"
"Campbell, Brian",150,0.166,-0.169,32,0.001,0.054,0.023,-0.336,-0.045,-0.050,-0.117,-0.062,-0.229,-0.534,2.747,"Genesis Scottish Open","The Renaissance Club"
"Willett, Danny",150,-0.592,0.148,37,-0.023,-0.066,0.094,-0.063,-0.081,-0.015,0.019,0.018,0.023,-0.559,2.804,"Genesis Scottish Open","The Renaissance Club"
"Elvira Mijares, Ignacio",150,-0.558,0.000,38,-0.025,-0.026,0.032,-0.055,0.048,-0.015,0.016,0.023,0.025,-0.559,2.752,"Genesis Scottish Open","The Renaissance Club"
"Cockerill, Aaron",150,-0.660,-0.048,33,-0.003,0.049,0.098,0.033,-0.026,-0.014,-0.012,0.021,-0.005,-0.561,2.734,"Genesis Scottish Open","The Renaissance Club"
"Harrington, Padraig",150,-0.855,0.136,53,-0.093,-0.001,-0.011,-0.002,0.095,-0.006,0.027,0.075,0.096,-0.635,2.802,"Genesis Scottish Open","The Renaissance Club"
"Dean, Joe",150,-0.900,0.157,31,0.007,0.016,-0.043,0.019,-0.045,0.006,0.054,0.067,0.127,-0.662,2.803,"Genesis Scottish Open","The Renaissance Club"
"Paul, Yannik",150,-0.821,0.017,31,0.006,0.033,0.064,-0.092,0.042,-0.008,0.059,0.034,0.085,-0.667,2.774,"Genesis Scottish Open","The Renaissance Club"
"Wu, Ashun",150,-0.719,-0.105,40,-0.032,-0.025,0.239,-0.114,0.093,-0.026,-0.023,0.019,-0.030,-0.693,2.787,"Genesis Scottish Open","The Renaissance Club"
"Snedeker, Brandt",150,-0.312,-0.104,44,-0.053,-0.053,0.147,-0.120,-0.045,-0.040,-0.134,-0.010,-0.184,-0.724,2.792,"Genesis Scottish Open","The Renaissance Club"
"Molinari, Francesco",150,-0.709,0.023,42,-0.044,0.067,-0.020,0.007,-0.005,-0.020,-0.100,0.057,-0.063,-0.743,2.786,"Genesis Scottish Open","The Renaissance Club"
"Siem, Marcel",150,-0.801,0.017,44,-0.054,-0.042,0.025,-0.009,0.021,-0.005,0.029,0.074,0.097,-0.746,2.813,"Genesis Scottish Open","The Renaissance Club"
"Smylie, Elvis",150,-0.836,-0.066,23,0.041,-0.019,0.065,0.004,-0.045,0.002,0.045,0.062,0.109,-0.747,2.803,"Genesis Scottish Open","The Renaissance Club"
"Frittelli, Dylan",150,-1.014,-0.040,35,-0.011,-0.034,0.020,0.171,-0.016,0.006,0.078,0.079,0.163,-0.761,2.798,"Genesis Scottish Open","The Renaissance Club"
"Ford, David",150,-0.694,-0.169,22,0.043,0.019,-0.020,0.056,-0.045,0.000,-0.059,0.089,0.031,-0.779,2.803,"Genesis Scottish Open","The Renaissance Club"
"Waring, Paul",150,-0.983,0.138,40,-0.034,0.052,-0.123,0.072,-0.042,-0.002,0.023,0.094,0.115,-0.806,2.823,"Genesis Scottish Open","The Renaissance Club"
"Van Driel, Darius",150,-0.838,-0.033,36,-0.015,0.000,0.060,0.054,0.002,-0.028,-0.086,0.054,-0.060,-0.830,2.760,"Genesis Scottish Open","The Renaissance Club"
"Otaegui, Adrian",150,-0.720,0.027,32,0.000,-0.035,0.014,-0.060,0.086,-0.037,-0.149,0.037,-0.149,-0.837,2.744,"Genesis Scottish Open","The Renaissance Club"
"Migliozzi, Guido",150,-0.821,-0.003,28,0.018,-0.017,-0.163,-0.039,0.086,-0.006,0.047,0.053,0.093,-0.845,2.823,"Genesis Scottish Open","The Renaissance Club"
"Wiesberger, Bernd",150,-0.780,-0.161,39,-0.031,-0.014,0.031,-0.022,0.052,-0.023,0.000,0.040,0.017,-0.907,2.734,"Genesis Scottish Open","The Renaissance Club"
"Hidalgo, Angel",150,-1.023,-0.081,27,0.024,-0.004,0.014,0.138,-0.045,-0.009,-0.023,0.073,0.041,-0.937,2.803,"Genesis Scottish Open","The Renaissance Club"
"Forsstrom, Simon",150,-1.342,0.030,36,-0.016,0.046,0.073,0.127,-0.010,-0.014,-0.010,0.097,0.073,-1.019,2.803,"Genesis Scottish Open","The Renaissance Club"
"Naidoo, Dylan",150,-1.194,-0.006,27,0.023,0.019,0.043,-0.046,-0.045,-0.007,0.059,0.075,0.127,-1.078,2.803,"Genesis Scottish Open","The Renaissance Club"
"Johnston, Ryggs",150,-1.301,-0.099,25,0.033,0.052,-0.040,0.010,-0.045,0.013,0.137,0.090,0.240,-1.150,2.803,"Genesis Scottish Open","The Renaissance Club"
"Larrazabal, Pablo",150,-0.925,-0.169,42,-0.042,-0.036,0.034,-0.132,-0.032,-0.022,0.040,0.045,0.064,-1.237,2.809,"Genesis Scottish Open","The Renaissance Club"
"Lee, Junghwan",150,-1.212,-0.037,33,-0.005,0.003,-0.062,-0.027,-0.014,-0.013,0.048,0.068,0.102,-1.253,2.803,"Genesis Scottish Open","The Renaissance Club"
"Whitnell, Dale",150,-1.568,0.094,36,-0.019,0.040,0.056,-0.020,-0.005,-0.017,0.029,0.103,0.115,-1.306,2.819,"Genesis Scottish Open","The Renaissance Club"
"Cho, Wooyoung",150,-1.344,-0.037,23,0.039,-0.001,-0.027,-0.029,-0.045,-0.013,0.028,0.092,0.107,-1.339,2.803,"Genesis Scottish Open","The Renaissance Club"
"Gumberg, Jordan",150,-1.474,-0.105,30,0.011,0.044,-0.025,0.177,-0.018,-0.012,-0.120,0.142,0.009,-1.381,2.803,"Genesis Scottish Open","The Renaissance Club"
"Donald, Luke",150,-1.125,0.183,47,-0.066,-0.064,-0.163,-0.258,-0.006,-0.043,0.037,0.033,0.026,-1.472,2.761,"Genesis Scottish Open","The Renaissance Club"
"Kim, Hongtaek",150,-1.689,-0.037,31,0.003,0.003,-0.011,-0.028,-0.045,0.000,0.065,0.131,0.196,-1.608,2.803,"Genesis Scottish Open","The Renaissance Club"
"Strydom, Ockie",150,-2.235,-0.006,40,-0.035,-0.006,-0.127,0.023,-0.020,-0.003,0.096,0.186,0.278,-2.128,2.870,"Genesis Scottish Open","The Renaissance Club"
