name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"Lacroix, Frederic","Ding, Wenyi",void,72-hole match,null,null,null,null,null,null,-110,-115,null,null,null,null,-105,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+107,-107,null
"Campillo, Jorge","Hillier, Daniel",void,72-hole match,null,null,null,null,null,null,-125,+100,null,null,null,null,-120,+100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,+105,null
"Nakajima, Keita","Ferguson, Ewen",void,72-hole match,null,null,null,null,null,null,+100,-130,null,null,null,null,+100,-125,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+116,-116,null
"Sullivan, Andy","Fitzpatrick, Alex",void,72-hole match,null,null,null,null,null,null,-110,-110,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-114,-114,null,-101,+101,null
"Norris, Shaun","Schneider, Marcel",void,72-hole match,null,null,null,null,null,null,-110,-110,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-101,+101,null
"Parry, John","Reitan, Kristoffer",void,72-hole match,null,null,null,null,null,null,+100,-125,null,null,null,null,-105,-120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-100,+100,null
"Chacarra, Eugenio","Couvra, Martin",void,72-hole match,null,null,null,null,null,null,-125,+100,null,null,null,null,-120,+100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-112,+112,null
"Smith, Jordan","Penge, Marco",void,72-hole match,null,null,null,null,null,null,-140,+110,null,null,null,null,-140,+110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-138,+138,null
"Pavan, Andrea","Migliozzi, Guido",void,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-120,null,+101,-101,null
"Reitan, Kristoffer","Penge, Marco",separate bet offered,72-hole match,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-105,+1600,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+105,+112,+2384
