player_name,dg_id,country,pred,sd,make_cut,top_20,top_10,top_5,win
"david horsey",11230,eng,-1.346,2.9085,+175,+1723,+4892,+12387,+113108
"brandon wu",25213,usa,-1.358,2.8711,+162,+1644,+4459,+12063,+107043
"alexander levy",14973,fra,-1.37,2.9238,+168,+1627,+4472,+11852,+101595
"zander lombard",16897,rsa,-1.391,2.9319,+165,+1541,+3992,+10183,+73974
"lucas bjerregaard",11619,den,-1.434,2.902,+193,+1985,+5636,+14788,+149900
"jacopo vecchi fossa",17362,ita,-1.517,2.927,+182,+1819,+4896,+13414,+99900
"dale whitnell",13821,eng,-1.539,2.9322,+205,+2194,+6099,+16138,+117547
"richard sterne",7049,rsa,-1.551,2.9033,+185,+1899,+5308,+13919,+96674
"ryggs johnston",32449,usa,-1.56,2.927,+203,+2174,+6019,+16361,+187400
"kevin chappell",13305,usa,-1.597,2.8943,+213,+2406,+6729,+19024,+176371
"thomas aiken",7679,rsa,-1.61,2.873,+193,+2265,+6717,+18779,+199900
"daniel gale",19212,aus,-1.62,2.927,+194,+2111,+5885,+16295,+124900
"veer ahlawat",22897,ind,-1.641,2.927,+198,+2303,+6721,+17855,+146241
"dylan naidoo",19429,rsa,-1.679,2.927,+225,+2564,+7274,+19241,+142757
"ross fisher",9396,eng,-1.7,2.9256,+233,+2741,+8125,+21692,Inf
"alfredo garcia-heredia",7887,esp,-1.703,2.8982,+239,+2852,+8400,+24416,Inf
"hurly long",25138,ger,-1.708,2.8927,+217,+2575,+7387,+19099,+149900
"ryan van velzen",27960,rsa,-1.729,2.927,+243,+2861,+8114,+23422,+171329
"matthew baldwin",13344,eng,-1.73,2.9357,+229,+2864,+8653,+23243,Inf
"deon germishuys",25888,rsa,-1.764,2.927,+224,+2873,+8421,+22693,Inf
"dan erickson",29520,usa,-1.766,2.927,+245,+2829,+8177,+22055,+157795
"tadeáš tetak",27808,svk,-1.768,2.927,+221,+2661,+7853,+22582,+153746
"shubhankar sharma",17081,ind,-1.81,2.9346,+235,+2920,+8945,+25648,+193448
"tiger christensen",31123,ger,-1.841,2.927,+252,+3119,+9156,+24029,+171329
"jeong weon ko",26213,fra,-1.849,2.927,+254,+3208,+9285,+26838,+193448
"zihao jin",31187,chn,-1.865,2.927,+246,+3121,+9236,+26684,+199900
"wolfgang glawe",28181,ger,-1.889,2.927,+235,+2937,+8903,+22782,+193448
"alexander george frances",25183,den,-1.988,2.927,+261,+3801,+11529,+32207,Inf
"bjorn akesson",11530,swe,-2.031,2.927,+290,+4293,+13444,+35369,Inf
"joel moscatel",27815,esp,-2.034,2.927,+306,+4683,+14495,+43602,Inf
"luke donald",4163,eng,-2.092,2.8659,+291,+4366,+13663,+41506,Inf
"corey shaun",24599,usa,-2.101,2.927,+298,+4254,+13551,+38148,Inf
"matthias schwab",15016,aut,-2.117,2.921,+309,+4843,+14771,+38390,Inf
"tim wiedemeyer",29973,ger,-2.198,2.927,+345,+5265,+17013,+53129,Inf
"pierre pineau",20900,fra,-2.215,2.927,+356,+6253,+19104,+54513,Inf
"michael hirmer",20713,ger,-2.6,2.927,+483,+11186,+40219,+118740,Inf
"ockie strydom",13731,rsa,-2.741,2.9767,+524,+12076,+39689,+143127,Inf
"george bryan",23054,usa,-3.383,2.9614,+861,+33296,+116448,Inf,Inf
"nicolas horder",28723,ger,-4.004,2.927,+1793,Inf,Inf,Inf,Inf
"martin trainer",15634,fra,-4.417,2.9791,+2831,Inf,Inf,Inf,Inf
"erik barnes",14799,usa,-5.16,2.9509,+6079,Inf,Inf,Inf,Inf
