player_name,sample_size,baseline,major_adj,country_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Suh, Justin",150,-0.864,-0.013,-0.173,28,0.020,-0.015,-0.038,-0.044,-0.040,-0.007,0.001,-0.004,-0.010,-1.176,2.963,"The Open Championship","Royal Portrush Golf Club"
"Young, Daniel",150,-1.094,-0.050,0.187,33,-0.005,-0.006,-0.100,-0.030,-0.040,-0.037,-0.002,-0.005,-0.044,-1.183,2.981,"The Open Championship","Royal Portrush Golf Club"
"Song, Younghan",150,-0.895,-0.028,-0.035,34,-0.006,-0.001,-0.146,-0.021,-0.040,-0.045,0.031,-0.000,-0.014,-1.186,2.981,"The Open Championship","Royal Portrush Golf Club"
"Jakubcik, Filip",150,-1.271,-0.050,-0.113,21,0.048,0.000,0.191,-0.013,-0.040,-0.009,-0.007,0.003,-0.013,-1.260,2.981,"The Open Championship","Royal Portrush Golf Club"
"Kawamoto, Riki",150,-1.003,-0.054,-0.109,25,0.032,-0.015,-0.089,-0.001,-0.040,0.022,-0.023,0.016,0.015,-1.264,2.981,"The Open Championship","Royal Portrush Golf Club"
"Fang, Ethan",150,-1.002,-0.050,-0.088,-1,0.000,0.000,-0.065,-0.013,-0.040,-0.010,-0.007,0.004,-0.013,-1.270,2.981,"The Open Championship","Royal Portrush Golf Club"
"Imahira, Shugo",150,-0.834,-0.033,-0.112,32,-0.001,0.001,-0.262,-0.012,-0.053,-0.021,0.003,0.005,-0.013,-1.320,2.981,"The Open Championship","Royal Portrush Golf Club"
"Luck, Curtis",150,-0.922,-0.035,-0.037,28,0.016,-0.014,-0.227,-0.059,-0.040,-0.003,-0.040,-0.003,-0.047,-1.366,3.038,"The Open Championship","Royal Portrush Golf Club"
"Naidoo, Dylan",150,-1.266,-0.050,-0.026,27,0.023,-0.001,0.015,-0.051,-0.040,-0.009,-0.030,0.006,-0.033,-1.430,2.981,"The Open Championship","Royal Portrush Golf Club"
"Fichardt, Darren",150,-1.185,-0.049,-0.072,50,-0.077,0.014,-0.059,-0.016,-0.027,-0.044,0.049,0.010,0.014,-1.457,3.021,"The Open Championship","Royal Portrush Golf Club"
"Zheng, Sampson",150,-1.251,-0.050,-0.069,24,0.038,-0.008,-0.090,-0.010,-0.040,0.003,-0.014,0.007,-0.004,-1.484,2.981,"The Open Championship","Royal Portrush Golf Club"
"Johnston, Ryggs",150,-1.364,-0.050,-0.081,25,0.033,0.054,-0.061,0.051,-0.040,0.014,-0.054,0.009,-0.031,-1.490,2.981,"The Open Championship","Royal Portrush Golf Club"
"Hastings, Justin",150,-1.235,-0.028,-0.113,21,0.047,-0.007,-0.087,-0.078,-0.040,0.005,-0.048,-0.004,-0.046,-1.587,2.981,"The Open Championship","Royal Portrush Golf Club"
"Graham, Connor",150,-1.552,-0.050,-0.036,-1,0.000,0.000,-0.002,-0.013,-0.040,-0.013,-0.011,0.005,-0.019,-1.711,2.981,"The Open Championship","Royal Portrush Golf Club"
"Clarke, Darren",150,-1.749,0.050,0.169,56,-0.107,-0.003,-0.126,-0.016,0.028,-0.025,-0.009,0.014,-0.019,-1.773,3.031,"The Open Championship","Royal Portrush Golf Club"
"Axelsen, John",150,-1.742,-0.050,0.017,27,0.023,0.003,0.041,-0.011,-0.040,-0.012,-0.010,0.004,-0.019,-1.778,2.981,"The Open Championship","Royal Portrush Golf Club"
"Adam, Cameron",150,-1.870,-0.050,0.185,-1,0.000,0.000,-0.016,-0.013,-0.040,-0.016,-0.014,0.006,-0.023,-1.827,2.981,"The Open Championship","Royal Portrush Golf Club"
"Akutsu, Mikiya",150,-1.466,-0.050,-0.109,30,0.010,0.000,-0.174,-0.013,-0.040,-0.013,-0.011,0.005,-0.018,-1.859,2.981,"The Open Championship","Royal Portrush Golf Club"
"Bloor, George",150,-1.968,-0.050,0.158,29,0.012,-0.000,-0.053,-0.013,-0.040,0.002,-0.033,0.011,-0.021,-1.975,2.981,"The Open Championship","Royal Portrush Golf Club"
"Walters, Justin",150,-1.924,-0.038,-0.009,44,-0.053,-0.011,-0.079,-0.012,-0.040,-0.003,-0.021,0.010,-0.014,-2.179,2.954,"The Open Championship","Royal Portrush Golf Club"
"Leonard, Justin",150,-1.948,0.037,-0.137,53,-0.090,-0.002,0.014,-0.014,-0.040,-0.060,0.046,0.000,-0.014,-2.193,2.941,"The Open Championship","Royal Portrush Golf Club"
"Choi, K.J.",150,-1.941,0.052,-0.127,55,-0.099,-0.001,-0.145,-0.013,-0.040,-0.081,0.052,0.008,-0.021,-2.335,2.966,"The Open Championship","Royal Portrush Golf Club"
"Peake, Ryan",143,-2.301,-0.050,-0.037,32,0.001,-0.001,0.101,-0.013,-0.040,-0.018,-0.016,0.007,-0.026,-2.366,2.981,"The Open Championship","Royal Portrush Golf Club"
"Sandborg, Jesper",150,-2.278,-0.050,0.055,32,0.002,-0.001,-0.126,-0.013,-0.040,-0.018,-0.037,0.014,-0.041,-2.491,2.981,"The Open Championship","Royal Portrush Golf Club"
"Cave, Seb",150,-2.572,-0.050,0.158,-1,0.000,0.000,-0.098,-0.013,-0.040,-0.021,-0.020,0.009,-0.032,-2.647,2.981,"The Open Championship","Royal Portrush Golf Club"
"Teder, Richard",143,-3.201,-0.050,-0.113,20,0.053,0.000,0.131,-0.013,-0.040,-0.024,-0.023,0.010,-0.038,-3.270,2.981,"The Open Championship","Royal Portrush Golf Club"
"Farrell, OJ",150,-3.170,-0.050,0.158,28,0.016,0.001,-0.222,-0.015,-0.040,0.018,-0.085,0.004,-0.063,-3.384,2.981,"The Open Championship","Royal Portrush Golf Club"
"Jones, Frazer",51,-3.549,-0.050,0.158,-1,0.000,0.000,-0.107,-0.013,-0.040,-0.028,-0.027,0.012,-0.044,-3.644,3.015,"The Open Championship","Royal Portrush Golf Club"
"Knipes, Curtis",150,-3.870,-0.050,0.158,24,0.034,0.001,-0.048,-0.012,-0.025,0.006,-0.067,0.020,-0.041,-3.854,2.981,"The Open Championship","Royal Portrush Golf Club"
"Newman, Bryan",147,-4.126,-0.050,-0.021,17,0.066,-0.007,-0.283,-0.013,-0.040,-0.033,-0.032,0.014,-0.051,-4.523,2.981,"The Open Championship","Royal Portrush Golf Club"
