player_name,dg_id,country,pred,sd,make_cut,top_20,top_10,top_5,win
"andrew wilson",25588,eng,-1.201,2.8033,+134,+1165,+2982,+7161,+56504
"callum tarren",20519,eng,-1.288,2.7969,+147,+1396,+3701,+9139,+76823
"chez reavie",7961,usa,-1.3,2.7916,+148,+1370,+3609,+9315,+85614
"anders albertson",21235,usa,-1.304,2.7393,+150,+1441,+3972,+10056,+84407
"braden thornberry",23502,usa,-1.308,2.7437,+153,+1606,+4509,+12396,+101595
"joel girrbach",15592,sui,-1.315,2.8033,+145,+1440,+3837,+10268,+73071
"hamish brown",22168,den,-1.316,2.8033,+154,+1461,+4031,+10568,+75849
"carl yuan",17266,chn,-1.348,2.8665,+150,+1411,+3568,+9189,+68866
"will chandler",31212,usa,-1.386,2.8033,+161,+1591,+4422,+10846,+82092
"marcus byrd",29304,usa,-1.396,2.8033,+161,+1559,+4174,+10081,+75849
"james hahn",11374,usa,-1.4,2.7697,+162,+1610,+4358,+11362,+86857
"kevin chappell",13305,usa,-1.41,2.7888,+162,+1663,+4609,+11868,+73974
"mason andersen",23540,usa,-1.412,2.8033,+168,+1673,+4617,+11845,+98261
"mj daffue",17068,rsa,-1.422,2.7785,+167,+1720,+4710,+12723,+101595
"alexander levy",14973,fra,-1.465,2.8208,+169,+1796,+5080,+12784,+90809
"frankie capan iii",21412,usa,-1.498,2.8033,+179,+1899,+5565,+14562,+142757
"mikael lindberg",20084,swe,-1.508,2.8033,+172,+1925,+5324,+14569,+199900
"jannik de bruyn",23112,ger,-1.527,2.8033,+175,+1940,+5469,+13524,+98261
"jonathan byrd",6931,usa,-1.549,2.746,+179,+2004,+5826,+16009,+162062
"kevin kisner",11328,usa,-1.552,2.8185,+178,+1927,+5252,+14470,+122349
"thomas aiken",7679,rsa,-1.569,2.7692,+184,+2181,+6893,+19963,+176371
"richard sterne",7049,rsa,-1.61,2.7902,+189,+2088,+5998,+18105,+162062
"brendon doyle",26508,usa,-1.65,2.8033,+194,+2161,+6126,+16644,+115285
"shubhankar sharma",17081,ind,-1.697,2.8298,+206,+2537,+7445,+21847,Inf
"jeong weon ko",26213,fra,-1.719,2.8033,+210,+2642,+7626,+21222,Inf
"nick watney",7955,usa,-1.78,2.8028,+215,+2675,+7989,+20261,Inf
"aaron baddeley",6252,aus,-1.842,2.7646,+228,+3343,+10352,+29453,Inf
"alfredo garcia-heredia",7887,esp,-1.866,2.7909,+224,+3244,+10106,+28032,Inf
"zihao jin",31187,chn,-1.866,2.8033,+238,+3462,+10700,+33664,Inf
"austin cook",18579,usa,-1.962,2.8076,+252,+3910,+11681,+31279,Inf
"gordon sargent",30814,usa,-1.984,2.8033,+264,+3974,+13056,+38801,Inf
"joel moscatel",27815,esp,-1.99,2.8033,+253,+4060,+13551,+42902,Inf
"tommy gainey",12169,usa,-2.021,2.8307,+250,+3731,+11936,+36189,Inf
"matthew baldwin",13344,eng,-2.04,2.8287,+274,+4341,+13839,+38816,Inf
"matthias schwab",15016,aut,-2.113,2.8096,+289,+4774,+14820,+48028,Inf
"sean o'hair",7626,usa,-2.163,2.7877,+297,+4860,+15338,+45985,Inf
"bjorn akesson",11530,swe,-2.18,2.8033,+309,+5804,+19832,+60217,Inf
"ryan brehm",10423,usa,-2.237,2.841,+321,+5427,+18360,+55674,Inf
"julien brun",16363,fra,-2.238,2.767,+327,+6229,+22242,+75469,Inf
"bill haas",7900,usa,-2.279,2.7569,+344,+6455,+22738,+66736,Inf
"brian stuard",13022,usa,-2.292,2.7764,+330,+6306,+19980,+61691,Inf
"jason dufner",7301,usa,-2.315,2.7773,+348,+6503,+21600,+74552,Inf
"cooper musselman",25318,usa,-2.362,2.8033,+353,+6898,+23442,+71618,Inf
"alexander knappe",12318,ger,-2.411,2.85,+373,+7266,+22976,+68124,Inf
"george mcneill",6419,usa,-2.422,2.8026,+385,+7418,+24780,+81628,Inf
"cody gribble",17508,usa,-2.428,2.7859,+357,+7277,+25772,+88648,Inf
"drew doyle",33101,usa,-2.509,2.8033,+398,+8467,+28738,+95023,Inf
"j.b. holmes",7959,usa,-2.66,2.8693,+426,+8070,+24703,+70598,Inf
"stephen stallings jr.",25335,usa,-3,2.8033,+637,+22627,+79881,Inf,Inf
"jim herman",12846,usa,-3.016,2.8263,+624,+20094,+82410,Inf,Inf
"daniel iceman",22255,usa,-3.017,2.8524,+628,+17993,+63262,Inf,Inf
"jeff overton",10498,usa,-3.396,2.8301,+903,+42959,+190319,Inf,Inf
"carson johnson",10068982,usa,-4.09,2.9416,+1642,+97269,Inf,Inf,Inf
"martin trainer",15634,fra,-4.444,2.8749,+2541,Inf,Inf,Inf,Inf
"erik barnes",14799,usa,-4.689,2.8471,+3903,Inf,Inf,Inf,Inf
"michael balcar",24483,usa,-5.362,2.8225,+9867,Inf,Inf,Inf,Inf
