name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"Smalley, Alex","Whaley, Vince",void,72-hole match,-130,+100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-132,+110,null,null,null,null,null,null,null,-112,+112,null
"Perez, Victor","Svensson, Jesper",void,72-hole match,-111,-119,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-107,-113,null,null,null,null,null,null,null,+108,-108,null
"Yu, Kevin","Keefer, Johnny",void,72-hole match,-113,-117,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+102,-122,null,null,null,null,null,null,null,-101,+101,null
"Norgaard, Niklas","Hisatsune, Ryo",void,72-hole match,-103,-127,null,+108,-131,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+106,-127,null,null,null,null,null,null,null,+119,-119,null
"Cole, Eric","Gotterup, Chris",void,72-hole match,-118,-112,null,-118,-103,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-113,-107,null,null,null,null,null,null,null,-106,+106,null
"Noren, Alex","Olesen, Thorbjorn",void,72-hole match,-117,-113,null,-113,-107,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,-103,+103,null
"Fox, Ryan","Kim, Tom",void,72-hole match,-136,+106,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-138,+115,null,null,null,null,null,null,null,-126,+126,null
"Rose, Justin","Wallace, Matt",void,72-hole match,+108,-138,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+117,-140,null,null,null,null,null,null,null,+140,-140,null
"Vilips, Karl","Cummins, Quade",void,72-hole match,-105,-125,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-105,-115,null,null,null,null,null,null,null,+103,-103,null
"Salinda, Isaiah","Castillo, Ricky",void,72-hole match,-103,-127,null,-101,-120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+108,-129,null,null,null,null,null,null,null,+103,-103,null
"Hojgaard, Nicolai","Kim, Tom",void,72-hole match,-113,-117,null,-113,-107,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+103,-103,null
"Ryder, Sam","McGreevy, Max",void,72-hole match,+101,-131,null,-110,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+107,-107,null
"Hoey, Rico","Whaley, Vince",void,72-hole match,-105,-125,null,-104,-116,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+109,-109,null
"Ghim, Doug","McCarty, Matt",void,72-hole match,-140,+110,null,-129,+106,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-107,+107,null
"Bramlett, Joseph","Kim, Chan",void,72-hole match,-133,+103,null,-127,+104,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-107,+107,null
"Rose, Justin","Homa, Max",void,72-hole match,-121,-109,null,-106,-114,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-100,+100,null
"Woodland, Gary","Knapp, Jake",void,72-hole match,-126,-104,null,-129,+106,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-102,+102,null
"Hodges, Lee","Svensson, Jesper",void,72-hole match,-115,-115,null,-116,-104,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-102,+102,null
"Taylor, Nick","Hughes, Mackenzie",void,72-hole match,-129,-101,null,+100,-121,null,-110,-110,null,null,null,null,-110,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,-130,+100,null,null,null,null,+100,-100,null
"Noren, Alex","Clanton, Luke",void,72-hole match,-115,-115,null,-126,+104,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,+115,null
"Mitchell, Keith","Hall, Harry",void,72-hole match,-109,-121,null,-116,-104,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,-110,null,null,null,null,-101,+101,null
"McIlroy, Rory","Lowry, Shane",void,72-hole match,-178,+141,null,-181,+146,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-200,+160,null,null,null,null,-157,+157,null
"Yu, Kevin","Moore, Taylor",void,72-hole match,-134,+104,null,-120,-101,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-100,+100,null
"Grillo, Emiliano","Rodgers, Patrick",void,72-hole match,-113,-117,null,-112,-108,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+106,-106,null
"Smalley, Alex","Wallace, Matt",void,72-hole match,-109,-121,null,-108,-112,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-102,+102,null
"Dahmen, Joel","Fishburn, Patrick",void,72-hole match,-102,-128,null,-102,-119,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-101,+101,null
"Perez, Victor","Fisk, Steven",void,72-hole match,-110,-120,null,-115,-105,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-100,+100,null
"Clark, Wyndham","Young, Cameron",void,72-hole match,-109,-121,null,+109,-132,null,-130,+100,null,null,null,null,-120,-105,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+102,-102,null
"Fox, Ryan","Young, Cameron",void,72-hole match,-107,-123,null,+102,-124,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-114,-114,null,-103,+103,null
"Hadwin, Adam","Tosti, Alejandro",void,72-hole match,-128,-102,null,-123,+102,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+100,-100,null
"Power, Seamus","Van Rooyen, Erik",void,72-hole match,+108,-138,null,+114,-139,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+108,-108,null
"Smalley, Alex","Kitayama, Kurt",void,72-hole match,null,null,null,null,null,null,-110,-115,null,null,null,null,-110,-115,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-120,-110,null,-108,+108,null
"Rose, Justin","Yu, Kevin",void,72-hole match,null,null,null,null,null,null,-105,-125,null,null,null,null,+100,-125,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+129,-129,null
"Homa, Max","Keefer, Johnny",void,72-hole match,null,null,null,null,null,null,-105,-120,null,null,null,null,+105,-125,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+129,-129,null
