name_p1,name_p2,fair_prob_p1,fair_prob_p2,fair_odds_p1,fair_odds_p2,betonline_p1,betonline_ev_p1,betcris_p1,betcris_ev_p1,pinnacle_p1,pinnacle_ev_p1,draftkings_p1,draftkings_ev_p1,bet365_p1,bet365_ev_p1,fanduel_p1,fanduel_ev_p1,betmgm_p1,betmgm_ev_p1,pointsbet_p1,pointsbet_ev_p1,bovada_p1,bovada_ev_p1,caesars_p1,caesars_ev_p1,unibet_p1,unibet_ev_p1
"Rose, Justin","Harman, Brian",0.4109,0.5891,143,-143,+132,0.3641,+139,0.3928,+124,0.3312,,,,,,,,,,,,,,,,
"Hughes, Mackenzie","Bezuidenhout, Christiaan",0.4674,0.5326,114,-114,+110,0.4489,+115,0.4723,,,,,,,,,,,,,,,,,,
"Cauley, Bud","Kim, Michael",0.5101,0.4899,-104,104,-122,0.4383,-130,0.4126,,,,,,,,,,,,,,,,,,
"Stevens, Sam","Gerard, Ryan",0.5114,0.4886,-105,105,-115,0.4676,-127,0.4256,-110,0.4878,,,,,,,,,,,,,,,,
"Jaeger, Stephan","Young, Cameron",0.5136,0.4864,-106,106,-122,0.4481,-122,0.4481,,,,,,,,,,,,,,,,,,
"Theegala, Sahith","Greyserman, Max",0.4705,0.5295,113,-113,+105,0.435,-108,0.3767,,,,,,,,,,,,,,,,,,
"Glover, Lucas","Cole, Eric",0.5033,0.4967,-101,101,-110,0.4642,-112,0.456,-119,0.4296,,,,,,,,,,,,,,,,
"Fox, Ryan","Detry, Thomas",0.491,0.509,104,-104,-105,0.4495,-106,0.4451,-112,0.4203,,,,,,,,,,,,,,,,
"Taylor, Nick","Eckroat, Austin",0.4854,0.5146,106,-106,-105,0.4332,-108,0.4204,,,,,,,,,,,,,,,,,,
"Kirk, Chris","Hoge, Tom",0.5252,0.4748,-111,111,-125,0.4707,-130,0.4545,-117,0.4994,,,,,,,,,,,,,,,,
"Highsmith, Joe","Bridgeman, Jacob",0.4765,0.5235,110,-110,+108,0.4678,+100,0.4296,,,,,,,,,,,,,,,,,,
"Vegas, Jhonattan","Schmid, Matti",0.4809,0.5191,108,-108,+100,0.4426,-113,0.3873,+103,0.457,,,,,,,,,,,,,,,,
"Kuchar, Matt","Davis, Cam",0.5559,0.4441,-125,125,-138,0.5145,-150,0.4823,,,,,,,,,,,,,,,,,,
"Pavon, Matthieu","Dunlap, Nick",0.6436,0.3564,-181,181,-213,0.5893,-203,0.6042,,,,,,,,,,,,,,,,,,
