"id","name","bbe","gb_rate","air_rate","fb_rate","ld_rate","pu_rate","pull_rate","straight_rate","oppo_rate","pull_gb_rate","straight_gb_rate","oppo_gb_rate","pull_air_rate","straight_air_rate","oppo_air_rate"
642715,"Adames, Willy",253,0.34782608695652173,0.6521739130434783,0.36363636363636365,0.18972332015810275,0.09881422924901186,0.4031620553359684,0.3438735177865613,0.25296442687747034,0.22924901185770752,0.07905138339920949,0.039525691699604744,0.17391304347826086,0.2648221343873518,0.2134387351778656
573262,"Yastrzemski, Mike",215,0.37209302325581395,0.627906976744186,0.29767441860465116,0.24651162790697675,0.08372093023255814,0.386046511627907,0.3581395348837209,0.2558139534883721,0.14883720930232558,0.16744186046511628,0.05581395348837209,0.2372093023255814,0.19069767441860463,0.2
527038,"Flores, Wilmer",251,0.3745019920318725,0.6254980079681275,0.24701195219123506,0.24701195219123506,0.13147410358565736,0.35856573705179284,0.3904382470119522,0.250996015936255,0.15139442231075698,0.16733067729083664,0.055776892430278883,0.20717131474103587,0.22310756972111553,0.1952191235059761
671218,"Ramos, Heliot",272,0.46691176470588236,0.5330882352941176,0.2647058823529412,0.22058823529411764,0.04779411764705882,0.3235294117647059,0.4375,0.23897058823529413,0.19852941176470587,0.23529411764705882,0.03308823529411765,0.12500000000000003,0.20220588235294118,0.2058823529411765
663993,"Lowe, Nathaniel",257,0.44357976653696496,0.556420233463035,0.24124513618677043,0.26459143968871596,0.05058365758754864,0.32684824902723736,0.35019455252918286,0.3229571984435798,0.19066147859922178,0.1867704280155642,0.06614785992217899,0.13618677042801558,0.16342412451361865,0.2568093385214008
671277,"García Jr., Luis",261,0.4559386973180077,0.5440613026819923,0.23371647509578544,0.26053639846743293,0.04980842911877394,0.3486590038314176,0.4482758620689655,0.20306513409961685,0.20689655172413793,0.20689655172413793,0.0421455938697318,0.1417624521072797,0.2413793103448276,0.16091954022988506
682928,"Abrams, CJ",271,0.4132841328413284,0.5867158671586715,0.24723247232472326,0.25461254612546125,0.08487084870848709,0.42435424354243545,0.35793357933579334,0.2177121771217712,0.2140221402214022,0.15498154981549817,0.04428044280442804,0.21033210332103325,0.20295202952029517,0.17343173431734316
696285,"Young, Jacob",174,0.6264367816091954,0.37356321839080464,0.12643678160919541,0.19540229885057472,0.05172413793103448,0.29310344827586204,0.40804597701149425,0.2988505747126437,0.25287356321839083,0.2471264367816092,0.12643678160919541,0.040229885057471215,0.16091954022988506,0.1724137931034483
593428,"Bogaerts, Xander",275,0.43636363636363634,0.5636363636363636,0.20363636363636364,0.29454545454545455,0.06545454545454546,0.4036363636363636,0.38181818181818183,0.21454545454545454,0.23272727272727273,0.16,0.04363636363636364,0.1709090909090909,0.22181818181818183,0.1709090909090909
650333,"Arraez, Luis",362,0.430939226519337,0.569060773480663,0.2430939226519337,0.281767955801105,0.04419889502762431,0.2955801104972376,0.3287292817679558,0.3756906077348066,0.16574585635359115,0.1712707182320442,0.09392265193370165,0.12983425414364644,0.1574585635359116,0.281767955801105
665487,"Tatis Jr., Fernando",286,0.48951048951048953,0.5104895104895105,0.23426573426573427,0.2202797202797203,0.055944055944055944,0.3706293706293706,0.4090909090909091,0.2202797202797203,0.25524475524475526,0.18181818181818182,0.05244755244755245,0.11538461538461536,0.2272727272727273,0.16783216783216784
701538,"Merrill, Jackson",188,0.43617021276595747,0.5638297872340425,0.28191489361702127,0.22872340425531915,0.05319148936170213,0.3404255319148936,0.3617021276595745,0.2978723404255319,0.23404255319148937,0.1702127659574468,0.031914893617021274,0.10638297872340424,0.1914893617021277,0.26595744680851063
630105,"Cronenworth, Jake",173,0.4046242774566474,0.5953757225433527,0.3236994219653179,0.19653179190751446,0.07514450867052024,0.3872832369942196,0.35260115606936415,0.26011560693641617,0.1907514450867052,0.13872832369942195,0.07514450867052024,0.19653179190751444,0.2138728323699422,0.18497109826589592
592518,"Machado, Manny",303,0.38613861386138615,0.6138613861386139,0.264026402640264,0.2607260726072607,0.0891089108910891,0.3432343234323432,0.40264026402640263,0.25412541254125415,0.19141914191419143,0.1617161716171617,0.033003300330033,0.1518151815181518,0.24092409240924093,0.22112211221122113
