name_p1,name_p2,ties,market,betcris_p1,betcris_p2,betcris_tie,pinnacle_p1,pinnacle_p2,pinnacle_tie,draftkings_p1,draftkings_p2,draftkings_tie,bet365_p1,bet365_p2,bet365_tie,fanduel_p1,fanduel_p2,fanduel_tie,betmgm_p1,betmgm_p2,betmgm_tie,pointsbet_p1,pointsbet_p2,pointsbet_tie,bovada_p1,bovada_p2,bovada_tie,betonline_p1,betonline_p2,betonline_tie,caesars_p1,caesars_p2,caesars_tie,unibet_p1,unibet_p2,unibet_tie,datagolf_p1,datagolf_p2,datagolf_tie
"Thomas, Justin","Niemann, Joaquin",void,72-hole match,-117,-113,null,-106,-114,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-115,null,-110,-110,null,null,null,null,null,null,null,+101,-101,null
"Scheffler, Scottie","Rahm, Jon",void,72-hole match,-174,+138,null,-185,+149,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-163,+135,null,null,null,null,-200,+155,null,-164,+164,null
"McIlroy, Rory","Rahm, Jon",void,72-hole match,-127,-103,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,+115,-115,null
"Fleetwood, Tommy","DeChambeau, Bryson",void,72-hole match,-135,+105,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,+105,null,null,null,null,null,null,null,-100,+100,null
"DeChambeau, Bryson","Schauffele, Xander",void,72-hole match,-110,-120,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+102,-122,null,null,null,null,null,null,null,-115,+115,null
"Fleetwood, Tommy","Schauffele, Xander",void,72-hole match,-128,-102,null,-132,+109,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,+105,null,null,null,null,null,null,null,-117,+117,null
"Lowry, Shane","Aberg, Ludvig",void,72-hole match,+119,-149,null,+108,-131,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+115,-138,null,null,null,null,null,null,null,+114,-114,null
"Hatton, Tyrrell","Aberg, Ludvig",void,72-hole match,-113,-117,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,-105,+105,null
"Lowry, Shane","Hatton, Tyrrell",void,72-hole match,+118,-148,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+110,-132,null,null,null,null,null,null,null,+120,-120,null
"Hovland, Viktor","MacIntyre, Robert",void,72-hole match,-120,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,-133,+105,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,-119,+119,null
"Hovland, Viktor","Morikawa, Collin",void,72-hole match,-125,-105,null,-117,-103,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-110,-110,null,null,null,null,null,null,null,+106,-106,null
"Morikawa, Collin","MacIntyre, Robert",void,72-hole match,-114,-116,null,-114,-106,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-115,-105,null,null,null,null,null,null,null,-124,+124,null
"Straka, Sepp","Fitzpatrick, Matt",void,72-hole match,+118,-148,null,+114,-139,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+117,-140,null,null,null,null,null,null,null,+108,-108,null
"Henley, Russell","Fitzpatrick, Matt",void,72-hole match,+120,-150,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+120,-144,null,null,null,null,null,null,null,+122,-122,null
"Henley, Russell","Straka, Sepp",void,72-hole match,-120,-110,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-107,-113,null,null,null,null,null,null,null,+114,-114,null
"Spieth, Jordan","Koepka, Brooks",void,72-hole match,-165,+131,null,-148,+121,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-159,+132,null,null,null,null,null,null,null,-147,+147,null
"Reed, Patrick","Cantlay, Patrick",void,72-hole match,+100,-130,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+105,-125,null,null,null,null,null,null,null,+122,-122,null
"Matsuyama, Hideki","Burns, Sam",void,72-hole match,+121,-151,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,+117,-140,null,null,null,null,null,null,null,+131,-131,null
"Rose, Justin","Young, Cameron",void,72-hole match,-130,+100,null,-126,+104,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-125,+105,null,null,null,null,null,null,null,+104,-104,null
