PLAYER NAME,STROKES PREDICTION,FINAL PREDICTION,AM,COURSE NAME
"Vegas, Jhonattan",70.39,0.1065299218,0,TPC Twin Cities
"Hoey, Rico",70.40,0.0990144834,0,TPC Twin Cities
"Blair, Zac",70.42,0.08206853861,0,TPC Twin Cities
"Moore, Ryan",70.46,0.04165214753,0,TPC Twin Cities
"Wu, Dylan",70.48,0.02204357923,0,TPC Twin Cities
"Hall, Harry",70.48,0.01752768656,0,TPC Twin Cities
"Moore, Taylor",70.49,0.009686238565,0,TPC Twin Cities
"Norlander, Henrik",70.52,-0.01590201373,0,TPC Twin Cities
"Schmid, Matthias",70.53,-0.02796076755,0,TPC Twin Cities
"Kim, Seonghyeon",70.55,-0.05259935836,0,TPC Twin Cities
"Lashley, Nate",70.56,-0.05656203266,0,TPC Twin Cities
"Kizzire, Patton",70.57,-0.06949249942,0,TPC Twin Cities
"Hoffman, Charley",70.59,-0.0913302454,0,TPC Twin Cities
"Sigg, Greyson",70.60,-0.0982921033,0,TPC Twin Cities
"Knapp, Jake",70.60,-0.1021424567,0,TPC Twin Cities
"Ramey, Chad",70.60,-0.1037964062,0,TPC Twin Cities
"Buckley, Hayden",70.62,-0.1217011055,0,TPC Twin Cities
"Lower, Justin",70.64,-0.137450695,0,TPC Twin Cities
"Shelton, Robby",70.65,-0.1472506285,0,TPC Twin Cities
"Kuchar, Matt",70.66,-0.1573599275,0,TPC Twin Cities
"Laird, Martin",70.68,-0.1774042982,0,TPC Twin Cities
"Phillips, Chandler",70.68,-0.178208103,0,TPC Twin Cities
"NeSmith, Matthew",70.70,-0.1956786402,0,TPC Twin Cities
"Reavie, Chez",70.70,-0.2049146334,0,TPC Twin Cities
"Johnson, Zach",70.75,-0.2495743588,0,TPC Twin Cities
"Hardy, Nick",70.76,-0.2588906552,0,TPC Twin Cities
"Bramlett, Joseph",70.76,-0.2617970318,0,TPC Twin Cities
"Garnett, Brice",70.77,-0.2734927676,0,TPC Twin Cities
"Lee, Kyounghoon",70.79,-0.2898259799,0,TPC Twin Cities
"Coody, Pierceson",70.80,-0.2961343422,0,TPC Twin Cities
"Merritt, Troy",70.80,-0.3022402039,0,TPC Twin Cities
"Griffin, Lanto",70.82,-0.3238708418,0,TPC Twin Cities
"Cauley, Bud",70.84,-0.3354955295,0,TPC Twin Cities
"Thorbjornsen, Michael",70.84,-0.3406017103,0,TPC Twin Cities
"Norrman, Vincent",70.85,-0.3468032845,0,TPC Twin Cities
"Bridgeman, Jacob",70.85,-0.3505507204,0,TPC Twin Cities
"Duncan, Tyler",70.85,-0.3536785264,0,TPC Twin Cities
"Smalley, Alex",70.86,-0.3624936646,0,TPC Twin Cities
"Wu, Brandon",70.86,-0.363891613,0,TPC Twin Cities
"List, Luke",70.86,-0.3642256981,0,TPC Twin Cities
"Lipsky, David",70.87,-0.3650849652,0,TPC Twin Cities
"Shipley, Neal",70.91,-0.4064506588,0,TPC Twin Cities
"James, Ben",70.91,-0.413616048,1,TPC Twin Cities
"Woodland, Gary",70.96,-0.4571893577,0,TPC Twin Cities
"Suh, Justin",70.97,-0.4697219818,0,TPC Twin Cities
"Springer, Hayden",70.99,-0.4897289251,0,TPC Twin Cities
"Noh, Seung-Yul",70.99,-0.4940842241,0,TPC Twin Cities
"Tway, Kevin",71.00,-0.5006965144,0,TPC Twin Cities
"Gotterup, Chris",71.02,-0.5198042668,0,TPC Twin Cities
"Tosti, Alejandro",71.05,-0.5475985283,0,TPC Twin Cities
"Champ, Cameron",71.06,-0.5636270075,0,TPC Twin Cities
"Skinns, David",71.06,-0.5649057673,0,TPC Twin Cities
"Streelman, Kevin",71.07,-0.5727519422,0,TPC Twin Cities
"Dougherty, Kevin",71.08,-0.5825574407,0,TPC Twin Cities
"Riley, Davis",71.13,-0.6262090735,0,TPC Twin Cities
"Chappell, Kevin",71.13,-0.629975366,0,TPC Twin Cities
"Highsmith, Joe",71.15,-0.6450374351,0,TPC Twin Cities
"Baddeley, Aaron",71.15,-0.652758643,0,TPC Twin Cities
"Cink, Stewart",71.17,-0.6717405105,0,TPC Twin Cities
"Smotherman, Austin",71.18,-0.6792619888,0,TPC Twin Cities
"Crowe, Trace",71.19,-0.6878598862,0,TPC Twin Cities
"Lindheim, Nicholas",71.22,-0.7248070833,0,TPC Twin Cities
"Malnati, Peter",71.26,-0.7552015803,0,TPC Twin Cities
"Tarren, Callum",71.26,-0.7581266835,0,TPC Twin Cities
"Sloan, Roger",71.26,-0.7627998264,0,TPC Twin Cities
"Knox, Russell",71.26,-0.7635853304,0,TPC Twin Cities
"Coody, Parker",71.29,-0.7948217232,0,TPC Twin Cities
"Piercy, Scott",71.32,-0.8212844141,0,TPC Twin Cities
"Kraft, Kelly",71.34,-0.8364569822,0,TPC Twin Cities
"Frittelli, Dylan",71.44,-0.944105894,0,TPC Twin Cities
"Furr, Wilson",71.48,-0.9758030295,0,TPC Twin Cities
"De la Fuente, Santiago",71.48,-0.9770469271,1,TPC Twin Cities
"Higgo, Garrick",71.49,-0.9892418148,0,TPC Twin Cities
"Daffue, MJ",71.50,-1.003864744,0,TPC Twin Cities
"O'Hair, Sean",71.51,-1.012165994,0,TPC Twin Cities
"McCormick, Ryan",71.53,-1.028246867,0,TPC Twin Cities
"Musselman, Cooper",71.53,-1.033761127,0,TPC Twin Cities
"McGirt, William",71.54,-1.035010689,0,TPC Twin Cities
"Dumont de Chassart, Adrien",71.54,-1.038354203,0,TPC Twin Cities
"Whitney, Tom",71.56,-1.061355398,0,TPC Twin Cities
"Cook, Austin",71.60,-1.095016391,0,TPC Twin Cities
"Bryan, Wesley",71.60,-1.099203024,0,TPC Twin Cities
"Taylor, Ben",71.61,-1.109831541,0,TPC Twin Cities
"Gordon, Will",71.62,-1.116580574,0,TPC Twin Cities
"Haas, Bill",71.63,-1.129794951,0,TPC Twin Cities
"Hahn, James",71.64,-1.142445502,0,TPC Twin Cities
"Snedeker, Brandt",71.69,-1.191579648,0,TPC Twin Cities
"Campos, Rafael",71.77,-1.273957452,0,TPC Twin Cities
"Streb, Robert",71.78,-1.282287633,0,TPC Twin Cities
"Alexander, Tyson",71.78,-1.284806036,0,TPC Twin Cities
"Warian, Ben",71.83,-1.329409346,1,TPC Twin Cities
"Teater, Josh",71.87,-1.367791315,0,TPC Twin Cities
"Trainer, Martin",71.88,-1.378622889,0,TPC Twin Cities
"Gribble, Cody",72.05,-1.547883047,0,TPC Twin Cities
"Gutschewski, Scott",72.07,-1.568057022,0,TPC Twin Cities
"Albertson, Anders",72.08,-1.58260678,0,TPC Twin Cities
"Brehm, Ryan",72.2,-1.680021264,0,TPC Twin Cities
"Hale Jr, Blaine",72.2,-1.717998536,0,TPC Twin Cities
"Kisner, Kevin",72.4,-1.886318716,0,TPC Twin Cities
"Barjon, Paul",72.4,-1.928384904,0,TPC Twin Cities
"Barnes, Erik",72.8,-2.303293381,0,TPC Twin Cities
"Pereda, Raul",72.9,-2.378339416,0,TPC Twin Cities
"Jonsson, Tobias",72.9,-2.415755847,1,TPC Twin Cities
"Watney, Nick",73.2,-2.733000906,0,TPC Twin Cities
"Shattuck, Braden",73.4,-2.940602423,0,TPC Twin Cities
"Sorenson, Jeff",73.5,-2.976268529,0,TPC Twin Cities
"Markham, Jackson",74.2,-3.694132804,0,TPC Twin Cities
"Maccaglia, Anthony",74.5,-4.022804017,0,TPC Twin Cities
